study_id,ref_id,short_name,year,design,population,n,setting,index_test_or_exposure,reference_standard,outcome,key_result,major_limitations,appraisal_framework,provisional_bias,applicability,extraction_status,reviewed_on
S001,R006,Boston v2.0 derivation and validation,2022,multicentre retrospective diagnostic accuracy,"Age >=50 with spontaneous ICH, cognitive impairment, or TFNE and MRI plus tissue",341,10 North American and European academic centres,Boston v2.0 MRI-clinical criteria,"Neuropathologic CAA assessment from biopsy, hematoma evacuation, or autopsy","Probable CAA sensitivity, specificity, and AUC","Derivation 74.8%/84.6%; temporal validation 92.5%/89.5%; geographic validation 80.2%/81.5%; full-autopsy subset 74.5%/95.0%, AUC 0.848",Retrospective tissue-selected sample; heterogeneous tissue extent and clinical presentations; not validated as population screening,QUADAS-3,some concerns,Strongest for symptomatic referral populations resembling enrolled cases,full_text_extracted,2026-08-18
S002,R007,Edinburgh CT and APOE model,2018,prospective population-based inception cohort; model development and diagnostic accuracy,Adults with first-ever CT-diagnosed ICH who died and underwent research autopsy,110,"Lothian, Scotland","CT subarachnoid extension, finger-like projections, and APOE e4",Masked standardized neuropathology,CAA-associated lobar ICH,"Among 62 lobar ICH cases, 36 had moderate/severe CAA; three-variable model c-statistic 0.92; rule-in specificity 96%",Only 62 lobar ICH cases; internal bootstrap validation; genotype may not be available; restricted to lobar ICH,QUADAS-3,some concerns,Applicable to acute lobar ICH evaluated by CT; not other CAA presentations,full_text_extracted,2026-08-18
S003,R015,False-positive probable CAA lesion pathology,2023,MRI-guided lesion-level autopsy case series,Three patients meeting probable CAA during life but without CAA on routine neuropathology,3,MGH brain donation program,"Lobar CMB location on in vivo, ex vivo 3T, and selected 7T MRI",Serial histopathology of targeted lesions and culprit vessels,Pathologic substrate of lobar CMBs,Seven true CMB correlates were retrieved; culprit vessels showed moderate/severe arteriolosclerosis and no CAA; lesions tended toward juxtacortical/subcortical WM,Extreme selected case series; only three patients and seven confirmed CMBs; localization hypothesis exploratory,pathology case-series prompts,high,"Demonstrates counterexamples, not frequency or diagnostic accuracy",full_text_extracted,2026-08-18
S004,R012,PVS and overlying cortical CAA,2022,spatial ex vivo MRI-histopathology study,Autopsy cases with definite CAA and non-CAA controls,24,MGH brain donation program,In vivo/ex vivo MRI-visible PVS and segmented histologic EPVS,Regional and single-vessel histopathology,Association of EPVS with vascular amyloid and vessel-wall changes,EPVS were mainly around WM portions of perforating cortical arterioles; burden associated with CAA severity in overlying cortex; affected vessels showed smooth-muscle loss and vascular amyloid,19 CAA and 5 controls; selected autopsy material; cross-sectional spatial association cannot establish flow direction,pathology-spatial prompts,high,Supports spatial biological plausibility; not standalone diagnostic accuracy,full_text_extracted,2026-08-18
S005,R013,BBB leakage and inflammation across CAA vessel grades,2022,cross-sectional vessel-level autopsy study,Seven definite CAA cases: two MRI-targeted severe cases and five consecutive cases,7,MGH,CAA vessel grade,"Immunohistochemistry for fibrin(ogen), SMA, GFAP, and CD68","Vessel-wall leakage, smooth-muscle loss, inflammation, and remodeling",Leakage and SMA loss were more frequent at mild amyloid grade than grade 0; all remodeled grade 3/4 vessels showed leakage; inflammation predominated later,Seven cases; many vessel observations are not independent persons; temporal order inferred from cross-sectional grades,pathology-mechanism prompts,high,Mechanistic hypothesis generation; not proof that leakage initiates rupture,full_text_extracted,2026-08-18
S006,R017,ARTS development and pathology testing,2021,"prediction model development, translation, and external cohort association",Community-based older adults with ex vivo MRI/pathology plus separate in vivo test and cognitive cohorts,"119 training; 79 pathology test; 369, 72, and 244 cognitive cohorts","MAP/ROS, MARS, ADNI","WMH, regional FA, age, and sex combined in automated ARTS score",Semiquantitative autopsy arteriolosclerosis for diagnostic testing,"Pathology discrimination, reproducibility, and cognitive decline",Mean ex vivo AUC 0.78; in vivo test AUC 0.79 when MRI-death interval <=2.4 years; scan-rescan ICC 0.99; higher score associated with decline in selected cognitive domains,Small pathology samples; performance worsened with longer MRI-death interval; oldest-old cohorts; calibration and clinical thresholds not established,PROBAST,high,Candidate research biomarker; not a clinical diagnostic test,abstract_plus_full_text_web_extracted,2026-08-18
S007,R018,ARTS instrumental and clinical validation abstract,2024,conference-supplement abstract,Older adults in multisite technical datasets and Rush/ARIC cognitive cohorts,20 inter-rater; 41 retest; 20 four-scanner; 156 Rush; 906 ARIC,MarkVCID consortium,Containerized ARTS score,Technical repeatability/reproducibility; cognitive trajectories rather than pathology for clinical validation,"Inter-rater reliability, test-retest repeatability, inter-scanner reproducibility, and cognitive association","ICC 0.9999 inter-rater, 0.996 test-retest, 0.955 inter-scanner; baseline ARTS associated with cognitive level and decline",Supplement abstract rather than complete report; limited appraisal detail; cognitive association does not revalidate pathology specificity,PROBAST,unclear/high,Strong technical signal; biological and clinical utility remain separate,abstract_extracted,2026-08-18
S008,R019,ARTS vascular risk and incident outcomes,2025,longitudinal observational cohort,Diverse older adults without dementia at baseline,1226,"MAP, MARS, AA Core, LATC, and ROS",Baseline ARTS score,"Standard cohort adjudication of MCI, dementia, stroke, and vascular risks","Incident MCI, dementia, stroke, and risk-factor associations","Higher ARTS score was associated with incident MCI, dementia, stroke, and several vascular risk factors",Observational associations; score includes age/sex and MRI injury features; outcome association does not prove arteriolosclerosis specificity or treatment responsiveness,cohort prompts,some concerns,"Supports prognostic association in older adults, not clinical diagnosis",abstract_extracted,2026-08-18
S009,R033,Arteriolosclerosis and hippocampal sclerosis of ageing,2014,multi-cohort autopsy association with digital pathology subset,"Autopsied adults age >=80 across UK-ADC, NACC, and Nun Study",2018,Three autopsy cohorts,Regional semiquantitative arteriolosclerosis and vessel morphology,Neuropathologic HS-ageing,Association and vessel morphology,226 HS-ageing cases and 1792 controls; arteriolosclerosis across multiple regions associated with HS-ageing; digital subset showed thicker/larger SMA-positive arterioles,Autopsy selection; historical semiquantitative ratings; cross-sectional association; HS-ageing terminology predates current LATE framework,autopsy-cohort prompts,some concerns,Strong association evidence; causal direction unresolved,full_text_extracted,2026-08-18
S010,R035,Entorhinal vessel density and proteinopathy,2024,ex vivo 7T MRI and histopathology spatial association,Twelve human postmortem medial temporal lobe samples,12,MGH,Manually labelled vessels on 100-micron ex vivo MRI,Semiquantitative p-tau and TDP-43 pathology,Regional vessel density and pathology,Perirhinal cortex was more vascularized than entorhinal cortex; vessel density correlated with p-tau and TDP-43; severe preclinical tau regions had higher density,"Twelve cases; cross-sectional; manual tracing; higher density can reflect baseline anatomy, remodeling, or selection",pathology-spatial prompts,high,"Exploratory spatial biology, not a diagnostic biomarker",full_text_extracted,2026-08-18
