edge_id,question_id,evidence_id,evidence_type,relationship,note
QE001,Q001,C007,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE002,Q001,S011,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE003,Q002,C007,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE004,Q002,S009,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE005,Q002,S011,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE006,Q003,C004,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE007,Q003,C016,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE008,Q004,C012,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE009,Q004,C016,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE010,Q004,S007,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE011,Q005,C017,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE012,Q005,S001,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE013,Q006,C017,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE014,Q006,S013,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE015,Q007,C017,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE016,Q007,S012,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE017,Q008,C004,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE018,Q008,S003,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE019,Q009,C004,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE020,Q010,C005,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE021,Q010,S004,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE022,Q011,C006,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE023,Q011,C017,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE024,Q011,S001,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE025,Q012,S002,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE026,Q013,C007,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE027,Q013,C011,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE028,Q013,C016,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE029,Q013,S006,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE030,Q013,S011,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE031,Q014,C004,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE032,Q014,C007,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE033,Q014,S003,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE034,Q015,C007,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE035,Q015,C016,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE036,Q016,C016,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE037,Q017,C011,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE038,Q017,S006,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE039,Q018,C011,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE040,Q018,C012,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE041,Q018,C013,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE042,Q018,S006,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE043,Q018,S007,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE044,Q018,S008,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE045,Q019,C007,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE046,Q019,S011,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE047,Q020,C001,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE048,Q020,S004,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE049,Q021,C002,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE050,Q021,C019,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE051,Q021,S017,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE052,Q021,S018,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE053,Q022,C003,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE054,Q022,S005,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE055,Q023,C014,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE056,Q023,C020,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE057,Q023,C022,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE058,Q023,S005,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE059,Q023,S019,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE060,Q023,S021,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE061,Q024,C007,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
