edge_id,claim_id,evidence_id,relationship,evidence_level,population_or_model,result,weight,limitation,extraction_status
E001,C001,S004,supports,human spatial MRI-pathology,19 definite CAA and 5 control autopsies,EPVS burden tracked overlying cortical CAA and vessel smooth-muscle loss,moderate,Cross-sectional and small; does not measure flow,full_text_extracted
E002,C001,R011,qualifies,review_synthesis,Human and experimental clearance literature,Multiple clearance routes and driving forces remain plausible,moderate,Review-level synthesis; heterogeneous models,full_text_extracted
E003,C001,R010,context,conceptual_framework,Sporadic and hereditary CAA evidence,Clearance dysfunction is placed in an early-to-progressive disease framework,low,Framework is not a direct test,full_text_extracted
E004,C002,R010,supports,framework_with_human_studies,Hereditary and sporadic CAA,Physiologic changes are proposed before overt hemorrhagic injury,low,Temporal sequence is better supported in hereditary than sporadic CAA,full_text_extracted
E005,C002,R004,context,current_review,Clinical CAA,Physiologic dysfunction is integrated with hemorrhagic and cognitive phenotypes,low,Narrative review,full_text_extracted
E006,C003,S005,supports,human_vessel_pathology,Seven definite CAA autopsies,Leakage and SMA loss were detectable at mild vessel amyloid grade,low,Cross-sectional vessel grades treated as temporal stages,full_text_extracted
E007,C003,S005,qualifies,human_vessel_pathology,Seven definite CAA autopsies,Inflammation predominated at later vessel grades rather than earliest grade,low,Small selected series,full_text_extracted
E008,C003,R014,context,review_synthesis,"CAA, CAA-ri, and ARIA literature",Leakage and inflammation may have stage-dependent roles,low,Mechanisms across syndromes are not identical,full_text_extracted
E009,C004,S001,supports,diagnostic_accuracy,Symptomatic patients age >=50 with MRI and tissue,"Boston v2.0 probable CAA showed strong specificity, especially in full-autopsy subset",high,Tissue-selected referral spectrum,full_text_extracted
E010,C004,S003,challenges,lesion_level_pathology,Three false-positive probable CAA cases,Seven confirmed lobar CMBs were linked to arteriolosclerosis without CAA,moderate,"Demonstrates possibility, not frequency",full_text_extracted
E011,C004,S012,qualifies,community_diagnostic_accuracy,134 ROSMAP MRI-autopsy participants,Probable v2.0 sensitivity 38.8% and specificity 83.5%; cortical CMB count separated true from false positives,high,Selected older MRI-autopsy subset,full_text_web_extracted
E012,C004,S013,challenges,nonhemorrhagic_diagnostic_accuracy,54 community/memory MRI-autopsy participants,Probable v2.0 AUC 0.47 in nonhemorrhagic presentations,high,Small and imprecise but directly tests transport,full_text_web_extracted
E013,C004,R046,method,imaging_review,Susceptibility MRI,"CMB detection depends on sequence, mimics, size, and rating conventions",moderate,Review rather than etiologic validation,citation_only
E014,C005,S001,supports,diagnostic_accuracy,Symptomatic tissue-referenced cohort,Severe CSO-PVS contributed to the v2.0 rule combining hemorrhagic and white-matter features,high,Incremental value is model- and population-dependent,full_text_extracted
E015,C005,S004,supports,human_spatial_pathology,CAA autopsies and controls,MRI-visible PVS corresponded to histologic enlargement and overlying CAA,moderate,Not a standalone diagnostic-accuracy study,full_text_extracted
E016,C005,S012,qualifies,community_diagnostic_accuracy,134 community MRI-autopsy participants,CSO-PVS increased sensitivity more than the multispot WMH feature,moderate,Overall sensitivity remained limited,full_text_web_extracted
E017,C006,S001,supports,diagnostic_accuracy,Symptomatic tissue-referenced cohort,Multispot WMH was retained as one nonhemorrhagic v2.0 feature,moderate,Feature is used only in combination,full_text_extracted
E018,C006,S012,qualifies,community_diagnostic_accuracy,134 community MRI-autopsy participants,WMH multispot added less sensitivity than CSO-PVS,moderate,Rating and cohort spectrum may affect performance,full_text_web_extracted
E019,C006,R042,context,pilot_observational,21 participants in exploratory PET study,Multispot lesions were associated with cerebrovascular amyloid burden,low,Very small pilot; PET signal is not pathology-specific,citation_only
E020,C007,R003,supports,review_synthesis,Human neuropathology literature,"Arteriolosclerosis definitions, regions, severity scales, and proposed etiologies vary",moderate,Primary heterogeneity studies require fuller extraction,full_text_extracted
E021,C007,S009,supports,multicohort_autopsy,Three autopsy cohorts,Regional and digital morphology revealed multiregional arteriolar changes,moderate,Historical scoring remains coarse,full_text_extracted
E022,C007,R025,method,consensus,VCING neuropathology,Standardization is necessary but contribution-to-cognition differs from lesion identity,moderate,Consensus cannot establish biological subtypes,citation_only
E023,C008,R003,supports,review_synthesis,Multiple ageing autopsy cohorts,Arteriolosclerosis is repeatedly associated with cognitive and motor impairment,moderate,Effect estimates and adjustment differ,full_text_extracted
E024,C008,R025,supports,consensus_validation,Autopsy cohorts used for VCING,Vascular pathologies can contribute to cognitive impairment after considering co-pathology,moderate,Framework is not an antemortem diagnostic rule,citation_only
E025,C008,S006,context,prediction_model,Older adult research cohorts,A pathology-linked MRI score associated with later cognitive decline,low,Mediation by arteriolosclerosis is not established,abstract_plus_full_text_web_extracted
E026,C009,S009,supports,multicohort_autopsy,226 HS-ageing cases and 1792 controls,Multiregional arteriolosclerosis was associated with HS-ageing; digital arterioles showed wall/morphology differences,high,Cross-sectional association,full_text_extracted
E027,C009,R034,qualifies,consensus_update,LATE-NC neuropathology,Modern LATE staging reframes older HS-ageing associations and requires TDP-43 context,moderate,Does not test vascular causation,full_text_extracted
E028,C009,S016,context,quantitative_autopsy,152 medial temporal lobe autopsies,Vascular and protein pathologies were mapped together,low,Complete result extraction pending,abstract_extracted
E029,C010,R010,supports,framework_with_longitudinal_evidence,CAA populations,"Ischemic, white-matter, and network injury are placed within progression before/alongside hemorrhage",moderate,Framework combines heterogeneous evidence,full_text_extracted
E030,C010,R029,supports,observational,CAA cohort,Total SVD burden associated with lower network efficiency,low,Cross-sectional and composite score,citation_only
E031,C010,R004,qualifies,current_review,Clinical CAA,"Cognitive impairment reflects hemorrhagic, ischemic, network, and co-pathology mechanisms",moderate,Relative causal shares remain uncertain,full_text_extracted
E032,C011,S006,supports,prediction_model_test,119 training and 79 pathology test participants,AUC approached 0.8 when MRI-death interval was short,moderate,Small pathology sample and incomplete calibration,abstract_plus_full_text_web_extracted
E033,C011,S006,qualifies,prediction_model_test,Pathology test sample,AUC fell as MRI-death interval lengthened,moderate,Threshold of 2.4 years is sample-dependent,abstract_plus_full_text_web_extracted
E034,C011,S007,context,technical_validation_abstract,Multisite older-adult datasets,Container produced highly reproducible scores,low,Reproducibility does not validate pathology specificity,abstract_extracted
E035,C012,S006,supports,repeatability,Research MRI participants,Scan-rescan ICC 0.99,moderate,Single development ecosystem,abstract_plus_full_text_web_extracted
E036,C012,S007,supports,multisite_technical_validation,20-41 participant technical samples,"Inter-rater ICC 0.9999, retest 0.996, inter-scanner 0.955",moderate,Supplement abstract with limited failure-mode detail,abstract_extracted
E037,C013,S006,supports,external_cohort_association,"369 MAP/ROS, 72 MARS, and 244 ADNI non-demented participants","Higher ARTS related to two-year decline, especially perceptual speed",moderate,Multiple testing and causal specificity concerns,abstract_plus_full_text_web_extracted
E038,C013,S007,supports,prespecified_cohort_association,156 Rush and 906 ARIC participants,Higher ARTS associated with worse baseline and longitudinal executive/perceptual speed measures,moderate,Clinical validation was not pathology validation,abstract_extracted
E039,C013,S008,supports,longitudinal_observational,1226 diverse older adults,"Higher score associated with incident MCI, dementia, stroke, and vascular risks",moderate,Incremental utility and mediation remain uncertain,abstract_extracted
E040,C014,S005,supports,human_vessel_pathology,Seven definite CAA autopsies,Perivascular astrocyte/microglial responses concentrated at later remodeled vessel grades,low,Small cross-sectional series,full_text_extracted
E041,C014,R014,supports,review_synthesis,"CAA, CAA-ri, and ARIA evidence",Inflammation is implicated across spontaneous and treatment-related amyloid vascular injury,moderate,Stage and direction vary,full_text_extracted
E042,C014,R040,context,workgroup_review,Anti-amyloid treatment populations,"ARIA-E/H risk and monitoring connect vascular amyloid, permeability, and hemorrhage",moderate,Management consensus is not a direct mechanism experiment,citation_only
E043,C015,R004,supports,current_review,Human CAA and AD literature,CAA and AD share amyloid biology but have distinct clinical/pathologic expressions,moderate,Narrative synthesis,full_text_extracted
E044,C015,R005,supports,review_synthesis,Sporadic CAA literature,Compartment-specific disease and overlapping AD biology are both emphasized,moderate,Review-level,full_text_extracted
E045,C015,S010,context,spatial_autopsy,12 medial temporal lobe cases,Vasculature relates spatially to tau/TDP-43 in vulnerable regions,low,Does not directly test CAA-AD unity,full_text_extracted
E046,C015,S016,context,quantitative_autopsy,152 medial temporal lobe cases,Vascular and proteinopathies coexist in the same anatomical system,low,Temporal/causal relationships unresolved,abstract_extracted
E047,C016,R027,supports,construct_validation,Stroke/SVD cohorts,A 0-4 score summarizes presence of four MRI feature classes,moderate,Equal weighting and thresholds,citation_only
E048,C016,S014,supports,construct_validation,CAA cohorts,CAA-SVD score organizes CAA-oriented visible MRI burden,moderate,Not a diagnostic criterion or continuous measure,citation_only
E049,C016,R029,qualifies,observational,CAA cohort,Composite burden related to network efficiency,low,Association does not identify lesion cause,citation_only
E050,C017,S001,supports,symptomatic_diagnostic_accuracy,Symptomatic referral cohorts,Probable v2.0 achieved sensitivity 74.8-92.5% and specificity 81.5-95.0% across reported samples,high,Tissue-selected symptomatic spectrum,full_text_extracted
E051,C017,S012,supports,community_diagnostic_accuracy,134 ROSMAP MRI-autopsy participants,Sensitivity fell to 38.8% with specificity 83.5%,high,Selected community autopsy subset,full_text_web_extracted
E052,C017,S013,supports,nonhemorrhagic_diagnostic_accuracy,54 Mayo community/memory participants,"Probable v2.0 sensitivity 28.6%, specificity 65.3%, AUC 0.47",high,Small sample and wide uncertainty,full_text_web_extracted
E053,C018,R031,supports,meta_analysis,Symptomatic CAA versus controls/AD,CSF A-beta patterns differ on average but overlap limits individual diagnosis,moderate,Small heterogeneous studies and clinical rather than pathology reference,citation_only
E054,C018,R032,context,systematic_review,Amyloid PET studies in sporadic CAA,PET can be sensitive to amyloid but parenchymal plaque signal limits specificity,moderate,Tracer and comparator heterogeneity,citation_only
E055,C018,R053,supports,current_review,CAA fluid-biomarker literature through 2026,No fluid marker considered sufficiently specific and validated for routine standalone diagnosis,moderate,Review conclusion awaits more pathology-anchored cohorts,abstract_extracted
E056,C019,S017,supports,multisite human validation,263 older adults across three MarkVCID sites,CVR-cognition associations reproduced across sites,moderate,Concurrent association and no pathology reference,abstract_plus_web_extracted
E057,C019,S018,supports,prospective human cohort,163 minor-stroke participants with one-year MRI,Lower baseline CVR predicted WMH and PVS progression but not clinical outcomes,moderate,Single region and SVD-enriched stroke population,full_text_web_extracted
E058,C020,S019,supports,systematic review/meta-analysis,378 reported CAA-ri cases,FLAIR abnormalities and lobar microbleeds were highly prevalent,moderate,Heterogeneous retrospective evidence,abstract_extracted
E059,C020,S021,supports,comparative human cohort,37 CAA-ri versus 158 CAA,ARIA-E features were much more common in CAA-ri,moderate,Referral cohort and incomplete pathology,full_text_web_extracted
E060,C021,S020,supports,systematic review/meta-analysis,16 imaging cohorts; 271 CAA participants,Regional and global PET group differences were detected,moderate,Predominantly clinical CAA reference,full_text_web_extracted
E061,C021,R032,qualifies,systematic critical review,Earlier amyloid PET literature,High amyloid positivity in older adults and AD limits specificity,moderate,"Older, smaller literature",citation_only
E062,C022,R055,supports,expert workgroup synthesis,Therapy-associated ARIA evidence,"Workgroup links vascular amyloid, inflammation, permeability, ARIA-E and ARIA-H",moderate,Mechanistic synthesis rather than direct comparison,full_text_web_extracted
E063,C022,S021,context,comparative cohort,Spontaneous CAA-ri and non-inflammatory CAA,CAA-ri expresses prominent ARIA-E-like abnormalities,moderate,No treated ARIA comparison group,full_text_web_extracted
E064,C023,R056,supports,systematic review,Hereditary CAA variants and families,Defined mutations produce earlier and often severe phenotypes useful for mechanistic inference,moderate,"Sparse, heterogeneous rare-disease literature",abstract_plus_web_extracted
E065,C023,R010,context,integrative framework,"Hereditary, sporadic, iatrogenic, pathology, and animal evidence",Cross-model evidence supports a staged disease sequence,moderate,Sequence is a synthesis framework rather than one validated natural-history model,full_text_extracted
E066,C024,R058,supports,review,Blood biomarker literature across cSVD,"Multiple biological domains show candidate signals, but clinical validation is immature",moderate,"Heterogeneous assays, populations, and reference standards",abstract_plus_web_extracted
E067,C024,R053,supports,current CAA review,CSF and plasma studies in CAA,No marker has sufficient specificity and validation for routine standalone CAA diagnosis,moderate,Narrative review; rapidly changing assays,abstract_extracted
