tool_id,name,category,intended_context,target_construct,required_inputs,output,development_or_authority,validation_status,reference_standard,key_strength,key_failure_mode,clinical_status,version_or_access,key_refs,reviewed_on
T001,STRIVE-1,terminology standard,research description and harmonization,MRI manifestations of cSVD,Multisequence structural MRI,Standard names and definitions,International expert consensus 2013,Widely adopted terminology,Consensus and measurement reliability rather than etiologic pathology,Established common language,Phenotype terms may be misused as disease labels,Research/clinical descriptive standard,2013 publication,R002,2026-08-18
T002,STRIVE-2,terminology standard,"research description, acquisition, and emerging markers",Visible and quantitative neuroimaging features of cSVD,MRI with sequence-dependent requirements,Updated definitions and recommendations,International expert consensus 2023,Consensus update; feature-specific validation varies,Feature-specific imaging/pathology and reliability evidence,Phenotype-first framework and updated methods,Does not diagnose CAA or arteriolosclerosis,Research standard,2023 publication,R001,2026-08-18
T003,Boston criteria v2.0,diagnostic criteria,Estimate likelihood of sporadic CAA in adults >=50 with relevant clinical presentation,CAA causing clinical/imaging phenotype,"Clinical presentation, MRI hemorrhagic markers, absence of deep hemorrhagic lesions, selected WM features",Possible/probable CAA categories,International CAA Association study,Validated in symptomatic temporal/geographic cohorts; lower performance in community/nonhemorrhagic samples,Neuropathologic CAA,Best established noninvasive CAA framework,Spectrum dependence; mimics; sequence sensitivity; not population screening,Clinical and research classification with specialist interpretation,v2.0,R006;R051;R052,2026-08-18
T004,Edinburgh CT and genetic criteria,diagnostic prediction rule,Rule in/out CAA-associated lobar ICH when MRI is unavailable or not primary,CAA as cause of lobar ICH,Acute CT morphology and APOE e4 genotype,Probability/rule-in/rule-out category,Prospective LINCHPIN autopsy cohort,Internally validated; external validation still important,Masked autopsy neuropathology,Uses widely available acute CT features,Small derivation set; genotype availability; restricted to lobar ICH,Specialist/research use,2018 model,R007,2026-08-18
T005,Clinicoradiologic CAA-ri criteria,diagnostic criteria,Recognize probable CAA-related inflammation,Inflammatory CAA syndrome,"Subacute clinical syndrome, MRI edema/asymmetry and hemorrhagic evidence, exclusion of alternatives",Possible/probable CAA-ri,Published validation study,Validated in selected specialist cohorts,Biopsy and/or expert follow-up diagnosis,Can support timely immunotherapy evaluation,"Rare syndrome, mimics, verification and referral bias",Clinical specialist framework,2016 validation,R008,2026-08-18
T006,Consensus CAA postmortem protocol,pathology protocol,Standardize sampling and severity assessment,Vascular amyloid distribution and severity,Specified brain regions and amyloid stains,Region- and vessel-based CAA assessment,International consensus pathology group,Consensus/appraisal protocol,Histopathology itself,Improves comparability of tissue studies,Sampling still misses patchy lesions; interlaboratory variation,Research/neuropathology,2014 protocol,R026,2026-08-18
T007,VCING,neuropathology framework,Estimate likelihood that vascular pathology contributed to cognitive impairment,Vascular contribution to cognitive impairment,Standardized neuropathology including infarcts and vessel disease,Low/intermediate/high likelihood contribution,Consensus with cohort validation,Validated for contribution framework,Clinical-pathologic association,Forces integration of lesion burden and cognition,Not an antemortem etiologic diagnosis; incomplete for all mixed pathologies,Research/neuropathology,2016 guidelines,R025,2026-08-18
T008,Total SVD score,ordinal burden score,Summarize visible MRI SVD burden,Total conventional MRI lesion burden,"MRI ratings of lacunes, CMBs, WMH, and PVS",0-4 score,Stroke-cohort construct study,Multiple observational associations,Clinical/construct outcomes,Simple and reproducible summary,"Equal weighting, thresholding, mixed etiologies",Research descriptive/prognostic,Original 2014 implementation,R027,2026-08-18
T009,CAA-SVD score,ordinal burden score,Summarize CAA-oriented MRI burden,Visible MRI burden associated with CAA,"Lobar CMBs, cSS, CSO-PVS, WMH",0-6 score,CAA cohort study,Construct and outcome associations,Clinical/pathologic variables across studies,Compact disease-burden summary,Not a diagnostic rule; components overlap with non-CAA disease,Research descriptive/prognostic,2016 score,R028;R029,2026-08-18
T010,MARS,visual rating scale,Standardize cerebral microbleed detection and location,CMB presence and anatomical distribution,T2*-GRE or SWI MRI,Count and location ratings,Published rating-scale development,Inter/intrarater validation,Expert visual ratings,Anatomical structure and explicit categories,Sequence and mimic sensitivity; labor intensive,Research/clinical rating,2009 scale,R023,2026-08-18
T011,BOMBS,visual rating scale,Improve agreement for brain microbleeds,"CMB presence, certainty, location, and mimics",T2*-weighted MRI,Structured CMB record,Published scale development,Reliability validation,Expert consensus/reference ratings,Explicit mimic handling,Still dependent on reader and acquisition,Research/clinical rating,2009 scale,R024,2026-08-18
T012,ARTS,automated prediction biomarker,Research prediction/enrichment for arteriolosclerosis risk,Probability-linked arteriolosclerosis signal,"T1 MRI, FLAIR/WMH, diffusion FA, age, sex, container prerequisites",Continuous ARTS confidence score,Rush/IIT development; MarkVCID packaging,Pathology-linked development/test; strong reported repeatability; transportability incomplete,Semiquantitative autopsy arteriolosclerosis for original diagnostic test,First openly available automated pathology-linked B-ASC score,Older selected cohorts; MRI-death interval; no clinical cutoff; score is not pathology,Research only,NITRC ARTS container; record version in every analysis,R017;R018;R019,2026-08-18
T013,PSMD,diffusion MRI biomarker,Quantify diffuse white-matter microstructural injury,Peak width of skeletonized mean diffusivity,Diffusion MRI and processing pipeline,Continuous PSMD,MarkVCID and prior methodological studies,Multisite instrumental and biological validation,Reproducibility and clinical association,"Automated, sensitive continuous measure",Not etiologically specific; acquisition and processing dependence,Research biomarker,Version-locked pipeline required,R021;R022,2026-08-18
T014,White-matter free water,diffusion MRI biomarker,Measure extracellular/free-water-related tissue change,Diffuse white-matter microstructural injury,Multishell or model-appropriate diffusion MRI,Voxel/region continuous free-water measure,MarkVCID biomarker program,Instrumental/biological validation evolving,Repeatability and clinical association,Potential sensitivity to subtle injury,Model and motion dependence; nonspecific biology,Research biomarker,Record model and software version,R020;R021,2026-08-18
T015,WMH segmentation algorithms,automated image analysis,Quantify WMH volume and spatial distribution,MRI-defined WMH,FLAIR plus optional T1; algorithm-specific preprocessing,"Masks, volume, spatial features",Multiple research groups and challenges,Benchmark performance exists; external transport varies,Expert masks and challenge datasets,Scalable continuous measurement,"Domain shift, lesion mimics, scanner effects, opaque QC",Research; clinical use depends on product,"Record model, weights, threshold, and QC",R045,2026-08-18
T016,Digital histopathology CNN marker suite,digital pathology method,"Quantify vascular amyloid, plaques, iron/calcium, glia, and fibrin",Histopathologic marker burden,Digitized stained slides and trained Aiforia models,Continuous marker areas/counts,Perosa et al. 2021,Good-to-excellent internal expert-referenced performance,Expert annotations and prior scores,Enables continuous spatial pathology analyses,Laboratory/stain/platform domain shift; external validation limited,Research only,Aiforia workflow/model-specific,R016,2026-08-18
T017,Carbon-dioxide challenge cerebrovascular reactivity MRI,physiological imaging biomarker,research measurement of vascular reserve and dysfunction,Change in cerebral MRI signal or flow response to a vasoactive challenge,"Standardized BOLD or perfusion MRI, gas delivery/end-tidal monitoring, preprocessing, region definition",Regional or voxelwise CVR magnitude and related parameters,MarkVCID and other SVD research programs,Multisite cognitive association and longitudinal imaging prediction; pathology specificity untested,"Reproducibility, cognition, and longitudinal SVD imaging rather than vessel pathology",Measures vascular function before irreversible structural injury,"Gas challenge, analysis, motion, vascular anatomy, and systemic physiology reduce scalability and specificity",Research biomarker,Protocol-dependent,R054;R060;R020;R021,2026-08-18
