ref_id,title,year,source,evidence_type,topic,priority,doi_or_url,archive_note
R051,Sensitivity and Specificity of the Boston Criteria Version 2.0 for the Diagnosis of Cerebral Amyloid Angiopathy in a Community-Based Sample,2024,Neurology,diagnostic accuracy,Boston v2.0 transportability,essential,https://doi.org/10.1212/WNL.0000000000207940,ROSMAP autopsy cohort; v2.0 sensitivity 38.8% and specificity 83.5% for probable CAA.
R052,Boston Criteria v2.0 for Cerebral Amyloid Angiopathy Without Hemorrhage: An MRI-Neuropathologic Validation Study,2024,Neurology,diagnostic accuracy,Boston v2.0 nonhemorrhagic presentations,essential,https://doi.org/10.1212/WNL.0000000000209386,"Mayo community/memory cohort; probable CAA sensitivity 28.6%, specificity 65.3%, AUC 0.47."
R053,Fluid biomarkers in cerebral amyloid angiopathy: current limitations and future directions,2026,Expert Review of Neurotherapeutics,review,CAA fluid biomarkers,high,https://pubmed.ncbi.nlm.nih.gov/42287242/,Current review concludes that no fluid marker has sufficient specificity and validation for routine CAA diagnosis.
R054,Cerebrovascular reactivity MRI as a biomarker for cerebral small vessel disease-related cognitive decline: Multi-site validation in the MarkVCID Consortium,2024,Alzheimer's & Dementia,multisite validation study,cerebrovascular reactivity,high,https://doi.org/10.1002/alz.13888,Predefined multisite analysis; N=263; CVR was associated with global and executive cognition across sites.
R055,Amyloid-related imaging abnormalities in anti-amyloid therapies for Alzheimer's disease: an update from the Alzheimer's Association ARIA workgroup,2026,Alzheimer's & Dementia,expert workgroup review,ARIA and CAA,essential,https://doi.org/10.1002/alz.71361,"Current workgroup synthesis of ARIA mechanisms, detection, monitoring, risk mitigation, and evidence gaps."
R056,Main features of hereditary cerebral amyloid angiopathies: a systematic review,2022,Cerebral Circulation - Cognition and Behavior,systematic review,hereditary CAA,high,https://doi.org/10.1016/j.cccb.2022.100124,"Maps genetics, pathogenesis, neuroimaging, neuropathology, and clinical manifestations of hereditary CAA."
R057,"Clinical, neuroimaging, and genetic markers in cerebral amyloid angiopathy-related inflammation: a systematic review and meta-analysis",2023,Stroke,systematic review and meta-analysis,CAA-related inflammation,high,https://doi.org/10.1161/STROKEAHA.122.040671,Twenty-one cohorts and 378 patients; pooled clinical and imaging feature prevalence with substantial heterogeneity for many estimates.
R058,Blood-based biomarkers of cerebral small vessel disease,2024,Ageing Research Reviews,narrative review,blood biomarkers,high,https://doi.org/10.1016/j.arr.2024.102247,"Reviews endothelial, inflammatory, oxidative, pericyte, and cardiovascular biomarker candidates; emphasizes validation needs."
R059,Cerebral amyloid angiopathy and amyloid load distribution detected on amyloid-positron emission tomography: a systematic review and meta-analysis,2025,European Stroke Journal,systematic review and meta-analysis,amyloid PET,high,https://doi.org/10.1177/23969873251349657,Sixteen prospective cohorts and 271 CAA participants; regional PET patterns are promising but require pathology-linked validation.
R060,Association of cerebrovascular reactivity with 1-year imaging and clinical outcomes in small vessel disease: an observational cohort study,2024,Neurology,prospective observational cohort,cerebrovascular reactivity,high,https://doi.org/10.1212/WNL.0000000000210008,Mild Stroke Study 3; 163 participants with adequate baseline CVR and follow-up MRI; lower CVR predicted WMH and PVS progression but not 1-year clinical outcomes.
R061,Clinical-radiological spectrum of cerebral amyloid angiopathy-related inflammation,2026,Annals of Neurology,retrospective comparative cohort,CAA-related inflammation,high,https://doi.org/10.1002/ana.78029,Compared 37 CAA-ri and 158 non-inflammatory sporadic CAA cases; ARIA-E features were much more frequent in CAA-ri.
