cohort_id,name,cohort_type,recruitment_context,pathology_availability,imaging,known_reuse,bias_relevance,independence_notes,key_refs
COH001,Boston v2.0 multicentre tissue cohort,diagnostic derivation/validation,Symptomatic referral patients with MRI and tissue,"Biopsy, hematoma evacuation, or autopsy; full-autopsy subset",Clinical MRI,"Derivation, temporal, geographic, and full-autopsy analyses within one publication",Tissue verification and referral spectrum can inflate transportability,Validation subsets are separated but arise from the same coordinated study program,R006
COH002,ROSMAP,community longitudinal aging/autopsy,Religious Orders Study and Rush Memory and Aging Project,Extensive autopsy program,Ante-mortem and ex-vivo imaging in subsets,"Boston transportability, ARTS development, arteriolosclerosis, cognition, and mixed-pathology studies","Volunteer, highly educated, older cohort; repeated reuse is not independent replication",Publications may use overlapping participants and differently filtered subsets,R017;R019;R033;R051
COH003,Mayo nonhemorrhagic MRI-autopsy cohort,diagnostic validation,Community/memory presentations without hemorrhage,Autopsy,Clinical/research MRI,Boston v2.0 nonhemorrhagic validation,Small selected pathology subset and nonhemorrhagic spectrum,Independent setting from Boston derivation but modest sample,R052
COH004,Mild Stroke Study 3,prospective stroke-enriched SVD cohort,Edinburgh/Lothian minor ischemic stroke services,None as primary reference,"3T structural, quantitative SVD, and carbon-dioxide CVR MRI",Cross-sectional and longitudinal CVR/SVD analyses,Stroke enrichment limits generalization to community aging and specific vessel pathology,Analyses using the same cohort should not be counted as independent replication,R060
COH005,MarkVCID multisite consortium,multisite biomarker-validation platform,Older adults across participating US sites,Variable; not the reference for most instrumental studies,Harmonized MRI and biomarker protocols,"PSMD, free water, CVR, clinical and fluid protocols",Heterogeneous sites improve transportability but outcomes often remain associative,"Sites may be analyzed independently, but consortium-wide papers share infrastructure and some participants",R020;R021;R022;R054
COH006,ADNI,multisite Alzheimer disease research cohort,Research volunteers across cognitive stages,Limited autopsy subset,Standardized MRI and molecular biomarkers,ARTS translation and outcome association,AD-focused selection and exclusions limit arteriolosclerosis generalization,May be external to ROSMAP development but not representative clinical care,R017;R019
COH007,Edinburgh lobar ICH pathology cohort,diagnostic derivation/validation,Adults with spontaneous lobar ICH,Neuropathology in enrolled diagnostic sample,Acute CT; APOE,Edinburgh CT and genetic criteria,"Applies to lobar ICH, not cognitive or asymptomatic presentations",Distinct context from MRI-based Boston criteria,R007
COH008,Specialist CAA-ri comparative cohort,retrospective referral cohort,CAA-ri and non-inflammatory CAA specialty care,Subset,Detailed clinical MRI rereview,CAA-ri spectrum characterization,Referral enrichment and incorporation of imaging into diagnosis,Useful comparative phenotype evidence; not population accuracy,R061
COH009,International postmortem CAA protocol network,method harmonization,Eleven neuropathology groups,Postmortem tissue is the target,Not required,"Consensus protocol development, appraisal, and validation",Consensus improves comparability but does not eliminate sampling error,Method paper rather than participant-outcome cohort,R026
COH010,Hereditary CAA family cohorts,rare-disease natural history,"Mutation-defined families, including Dutch-type CAA",Variable,Serial research/clinical imaging in some cohorts,"Natural history, risk factors, and mechanistic staging","Founder effects, mutation specificity, younger age, and limited numbers",Different mutations should not be pooled without biological justification,R010;R056
