screen_id,ref_id,decision,reason,priority,extraction_status,duplicate_of,reviewed_on
SC001,R001,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,citation_only,,2026-08-18
SC002,R002,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,citation_only,,2026-08-18
SC003,R003,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,citation_only,,2026-08-18
SC004,R004,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,citation_only,,2026-08-18
SC005,R005,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,citation_only,,2026-08-18
SC006,R006,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,full_text_extracted,,2026-08-18
SC007,R007,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,full_text_extracted,,2026-08-18
SC008,R008,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,citation_only,,2026-08-18
SC009,R009,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,citation_only,,2026-08-18
SC010,R010,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,citation_only,,2026-08-18
SC011,R011,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,citation_only,,2026-08-18
SC012,R012,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,full_text_extracted,,2026-08-18
SC013,R013,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,full_text_extracted,,2026-08-18
SC014,R014,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,citation_only,,2026-08-18
SC015,R015,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,full_text_extracted,,2026-08-18
SC016,R016,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,full_text_extracted,,2026-08-18
SC017,R017,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,abstract_plus_full_text_web_extracted,,2026-08-18
SC018,R018,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,abstract_extracted,,2026-08-18
SC019,R019,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,abstract_extracted,,2026-08-18
SC020,R020,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC021,R021,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC022,R022,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC023,R023,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC024,R024,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC025,R025,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,citation_only,,2026-08-18
SC026,R026,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC027,R027,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC028,R028,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC029,R029,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",medium,citation_only,,2026-08-18
SC030,R030,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC031,R031,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC032,R032,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC033,R033,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,full_text_extracted,,2026-08-18
SC034,R034,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC035,R035,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",medium,full_text_extracted,,2026-08-18
SC036,R036,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC037,R037,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC038,R038,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC039,R039,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",medium,citation_only,,2026-08-18
SC040,R040,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC041,R041,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC042,R042,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",medium,citation_only,,2026-08-18
SC043,R043,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",low,citation_only,,2026-08-18
SC044,R044,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",medium,citation_only,,2026-08-18
SC045,R045,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC046,R046,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC047,R047,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC048,R048,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",medium,citation_only,,2026-08-18
SC049,R049,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",medium,citation_only,,2026-08-18
