hypothesis_id,hypothesis,level,strongest_for,strongest_against,alternative_explanations,falsifier,decisive_experiment,current_confidence,claim_ids,refs,reviewed_on
H001,Perivascular clearance failure is an initiating driver of sporadic CAA,mechanism,"Anatomical plausibility, vascular amyloid distribution, hereditary/experimental models, and spatial PVS-pathology associations",Human flow direction and temporal onset are not directly established; clearance impairment may be secondary to vessel injury,"Production, vessel affinity, age-related matrix change, pulsatility, and BBB dysfunction",Normal direct clearance before and during early vascular amyloid accumulation despite sensitive measurement,Longitudinal compartment-specific human transport study beginning before imaging disease,moderate,C001,R010;R011;R012,2026-08-18
H002,Vascular physiological dysfunction precedes structural cSVD injury,temporal mechanism,Longitudinal CVR predicts later WMH/PVS progression; staged CAA frameworks place physiology before tissue injury,Reverse causation and shared vascular risks remain possible; clinical outcomes were not predicted at one year in MSS3,Existing microscopic tissue injury could impair measured reactivity,Repeated normal physiology immediately before incident lesions in adequately powered cohorts,Repeated physiology and structural imaging with cross-lagged and intervention analyses,moderate,C002;C019,R010;R054;R060,2026-08-18
H003,BBB leakage is an early causal amplifier of CAA vessel injury,mechanism,Leakage and inflammation increase with histologic vessel injury and fit ARIA/CAA-ri biology,Human evidence is mainly cross-sectional and leakage can follow vessel damage,"Inflammation, ischemia, and amyloid toxicity independently generate permeability",No leakage before progression when measured serially with sensitive methods,Serial DCE-MRI/fluid markers with spatial pathology and treatment perturbation,moderate,C003;C022,R013;R055,2026-08-18
H004,A strictly lobar hemorrhagic pattern is sufficiently specific for CAA,diagnostic,Strong pathology-linked enrichment and established Boston criteria performance in symptomatic cohorts,Nonamyloid arteriolosclerosis can produce some lobar/juxtacortical microbleeds; performance falls in other spectra,"Trauma, embolic lesions, vascular malformations, treatment effects, and mixed disease",High rate of non-CAA pathology among rigorously localized strictly lobar lesions,Lesion-matched MRI-histology plus external diagnostic validation,moderate,C004;C017,R006;R015;R051;R052,2026-08-18
H005,CSO-PVS are an in-vivo marker of regional cortical CAA burden,biomarker,Spatial MRI-pathology association with overlying cortical amyloid and smooth-muscle loss,PVS are common with aging and multiple SVD mechanisms; rating and causal interpretation vary,"Atrophy, altered interstitial fluid, venous factors, and other small-vessel pathology",No regional association in larger blinded pathology cohorts after confounding control,Multiregion MRI-autopsy mapping with reproducible automated PVS quantification,moderate,C005,R012,2026-08-18
H006,A deep/perforator MRI pattern can diagnose brain arteriolosclerosis,diagnostic,"Biological plausibility and candidate associations of deep lesions, WMH, infarcts, diffusion, and vascular risks","No accepted pathology-validated criteria; lesions are downstream, mixed, and sequence-dependent","CAA, embolism, diabetes, aging, AD, inflammation, and other arteriopathies",Poor external calibration against standardized multiregion pathology,Large derivation plus independent locked MRI-autopsy validation,low,C007;C011;C016,R003;R017,2026-08-18
H007,Arteriolosclerosis independently causes cognitive decline,causal outcome,Autopsy associations persist after adjustment in several aging cohorts,"Residual confounding, measurement error, mediation by infarcts/WMH, and cohort reuse","ADNC, LATE, hippocampal sclerosis, frailty, and vascular risks",No association after robust measurement-error and causal-pathway modeling across independent cohorts,Replicated longitudinal autopsy mediation analysis with harmonized pathology,moderate,C008;C009,R003;R033;R049;R050,2026-08-18
H008,ARTS is a valid in-vivo biomarker of arteriolosclerosis,prediction biomarker,"Pathology-linked development, reported AUC, translation to in-vivo MRI, and repeatability work","Limited independent pathology validation, selected cohorts, and uncertain incremental utility","ARTS may reflect general aging, WMH/diffusion injury, or vascular risk burden",Failure of locked calibration/discrimination in an independent MRI-autopsy cohort,Independent preregistered external pathology validation against strong baselines,low,C011;C012;C013,R017;R018;R019,2026-08-18
H009,CAA-ri and treatment-related ARIA lie on one inflammatory vascular-amyloid continuum,mechanism,"Overlapping ARIA-E/ARIA-H imaging, vascular amyloid, permeability, inflammation, and occasional clinicopathologic resemblance","Distinct triggers, treatment exposure, natural history, ascertainment, and incomplete direct comparative data",Shared downstream injury from different initiating mechanisms,"Consistently nonoverlapping immune, imaging, and pathology signatures in direct comparisons",Harmonized prospective CAA-ri versus ARIA multi-omic/imaging/pathology study,moderate,C014;C020;C022,R055;R057;R061,2026-08-18
H010,Regional amyloid PET can distinguish CAA from AD,diagnostic biomarker,Meta-analysis finds lower global CAA uptake than AD and relatively higher occipital-to-global uptake,Most reference diagnoses are clinical; AD co-pathology and tracer heterogeneity blur compartments,"Disease stage, tracer affinity, atrophy, and mixed parenchymal/vascular amyloid",No patient-level separation against compartment-specific autopsy pathology,Prospective multi-tracer PET-to-autopsy threshold validation,low,C021,R032;R059,2026-08-18
H011,A fluid biomarker panel can distinguish CAA from AD and arteriolosclerosis,diagnostic biomarker,"Disease-related amyloid, neuronal, inflammatory, endothelial, and pericyte signals are detectable","Substantial construct overlap, assay heterogeneity, and little pathology-linked external validation","Systemic vascular disease, renal function, age, AD, and nonspecific neurodegeneration",No incremental accuracy beyond clinical/MRI models in representative pathology cohorts,Locked multisite plasma/CSF panel tested against mixed autopsy pathology,low,C018;C024,R031;R053;R058,2026-08-18
H012,"Mixed CAA, arteriolosclerosis, and neurodegenerative pathology interact rather than merely add",causal systems,"Frequent co-occurrence, shared vascular/amyloid pathways, spatial vulnerability, and heterogeneous phenotypes","Interaction estimates are underpowered, scale-dependent, and vulnerable to measurement error",Independent additive effects plus age-related co-occurrence,Consistently additive models with good calibration across independent cohorts and scales,Large replicated multiregion pathology-imaging cohort with prespecified interaction scales,low,C009;C010;C015,R033;R035;R049;R050,2026-08-18
