question_id,domain,question,population,index_or_exposure,comparator,reference_standard,outcome,timing,setting,priority,evidence_status,current_answer,critical_missing_piece,decisive_design,claim_ids,study_ids,last_searched
Q001,pathology,"What vessel-wall features constitute brain arteriolosclerosis, and which should remain separate constructs?",Older adult human brain tissue,"Hyalinosis, sclerosis, fibrosis, wall thickening, luminal narrowing, smooth-muscle loss",Alternative definitions and stains,Region- and vessel-level quantitative pathology,Construct validity and reproducibility,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,critical_gap,The label is heterogeneous and operational definitions vary.,Consensus construct ontology linked to reproducible quantitative measurements.,Multicentre digital-pathology calibration with shared slides and blinded raters,C007,S011,2026-08-18
Q002,pathology,How should regional arteriolosclerosis measurements be aggregated into a person-level burden?,Autopsy cohorts with multiregion sampling,Regional vessel pathology,"Maximum, mean, weighted, latent, and spatial-pattern scores",Whole-brain sampling model,Person-level validity and prediction,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,critical_gap,No universally accepted aggregation rule exists.,Sampling theory for spatially heterogeneous disease.,Dense multiregion sampling with bootstrap stability and external outcome validation,C007,S009;S011,2026-08-18
Q003,measurement,What minimum MRI protocol is required to phenotype hemorrhagic and nonhemorrhagic cSVD reproducibly?,Adults undergoing cSVD research MRI,"T1, T2, FLAIR, DWI, susceptibility, and optional quantitative sequences",Reduced and heterogeneous protocols,STRIVE-aligned acquisition and expert image review,"Feature detectability, reliability, and missingness",Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,high,bounded,"Core structural and susceptibility-sensitive sequences are necessary, but protocol effects remain substantial.",Prospective sequence-ablation evidence across scanners.,Multivendor scan-rescan study with blinded sequence-ablation reading,C004;C016,,2026-08-18
Q004,measurement,Which cSVD measures are repeatable enough for longitudinal or treatment-response use?,Stable and progressing cSVD cohorts,Visual ratings and quantitative biomarkers,Scan-rescan and cross-scanner conditions,Prespecified repeatability and smallest-detectable-change standards,Reliability and sensitivity to change,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,high,emerging,"Some tools are repeatable, but repeatability does not imply biological or clinical validity.",Common change thresholds and error decomposition.,Multisite scan-rescan plus longitudinal progression study,C012;C016,S007,2026-08-18
Q005,CAA diagnosis,How accurately does Boston v2.0 identify CAA in symptomatic referral populations?,"Age 50+ with ICH, TFNE, or cognitive presentation",Boston v2.0,Earlier criteria or component markers,Neuropathology,"Sensitivity, specificity, likelihood ratios, calibration",Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,bounded,Performance is strongest in populations resembling the derivation and symptomatic validation cohorts.,Independent prospective validation with uniform full reference standards.,Prospective multicentre blinded diagnostic cohort,C017,S001,2026-08-18
Q006,CAA diagnosis,How accurately does Boston v2.0 perform in nonhemorrhagic cognitive presentations?,Memory-clinic or cognitive presentations without hemorrhage,Boston v2.0,Clinical impression and biomarkers,Autopsy or representative biopsy,Diagnostic accuracy and net benefit,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,critical_gap,Available validation suggests substantially weaker performance than in symptomatic hemorrhagic cohorts.,Larger representative pathology-linked cohorts.,Prospective memory-clinic-to-autopsy validation with competing AD pathology,C017,S013,2026-08-18
Q007,CAA diagnosis,Can Boston v2.0 be used for community screening?,Community-dwelling older adults,Boston v2.0,No screening or alternative risk model,Autopsy,"Accuracy, predictive value, downstream burden",Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,critical_gap,Community sensitivity is limited and predictive values depend strongly on prevalence.,Prospective population-based evaluation and consequences of false classification.,Population screening study with autopsy follow-up and decision analysis,C017,S012,2026-08-18
Q008,CAA diagnosis,Does cortical versus juxtacortical microbleed localization improve CAA specificity?,Older adults with lobar microbleeds,Fine-grained lesion-to-cortex localization,Strictly lobar count alone,Lesion-level histopathology,Incremental specificity and reproducibility,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,emerging,Histopathology suggests some false-positive lobar lesions arise from nonamyloid arteriolosclerosis.,Automated reproducible localization and prospective pathology validation.,Lesion-matched MRI-histology study with competing arteriolosclerosis,C004,S003,2026-08-18
Q009,CAA prognosis,How should cortical superficial siderosis extent and progression be used for prognosis?,Probable or pathology-confirmed CAA,Focal/disseminated cSS and interval change,No cSS or static rating,Recurrent hemorrhage and functional outcomes,Absolute risk and incremental value,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,high,bounded,"cSS is associated with recurrence risk, but treatment decisions require absolute and context-specific risk.",Calibrated external models and treatment interaction evidence.,Prospective competing-risk cohort with prespecified cSS progression,C004,,2026-08-18
Q010,CAA diagnosis,Does severe centrum semiovale PVS add independent diagnostic information for CAA?,Suspected CAA,CSO-PVS severity,Hemorrhagic markers and age alone,Neuropathology,Incremental discrimination and calibration,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,high,emerging,CSO-PVS contributes to Boston v2.0 and spatial pathology evidence supports biological relevance.,Large external pathology-linked incremental-value study.,Blinded MRI-autopsy cohort with model comparison,C005,S004,2026-08-18
