claim_id,claim,domain,interpretation_supported,not_established,confidence,directness,bias_control,consistency,precision,transportability,key_limitation,decisive_test,status,reviewed_on
C001,Impaired perivascular clearance contributes to CAA,mechanism,Clearance failure is a biologically coherent contributor and may participate in feedback with vascular amyloid,That impaired outward flow is the initiating cause in sporadic human CAA or that MRI-visible PVS directly measure clearance,moderate,1,1,1,1,1,Human direction and flux are not directly measured,Longitudinal compartment-specific human transport measurement with regional temporal predictions,active,2026-08-18
C002,Vascular physiological dysfunction precedes hemorrhage in CAA,progression,Physiologic abnormalities plausibly occur before overt hemorrhagic lesions,A universal temporal sequence or sufficient accuracy for preclinical diagnosis,low,1,1,1,0,0,Sparse longitudinal sporadic CAA data,"Repeated CVR, perfusion, permeability, and lesion imaging in initially hemorrhage-free participants",active,2026-08-18
C003,BBB leakage is an early event in CAA vessel remodeling,mechanism,Leakage is detectable at mildly amyloid-positive vessels and is present in remodeled vessels,That leakage initiates inflammation or rupture rather than reflecting concurrent injury,low,1,0,0,0,0,Cross-sectional inference from seven autopsy cases,Serial in vivo permeability followed by spatial whole-vessel pathology,active,2026-08-18
C004,A strictly lobar hemorrhagic pattern increases the probability of CAA,diagnosis,Distribution is diagnostically informative in symptomatic populations when mimics and deep lesions are considered,That every lobar CMB is caused by CAA or that performance transfers unchanged to screening populations,moderate,2,1,1,1,1,Arteriolosclerosis can produce lobar CMBs and accuracy is spectrum-dependent,Large lesion-level MRI-pathology coregistration across symptomatic and community cohorts,active,2026-08-18
C005,Severe centrum-semiovale PVS add information for CAA classification,diagnosis,CSO-PVS can improve sensitivity when combined with hemorrhagic features in Boston v2.0,That PVS are specific for CAA or directly quantify clearance,moderate,2,1,1,1,1,Incremental value varies by population and rating method,External pathology validation with arterial/venous mapping and prespecified thresholds,active,2026-08-18
C006,The multispot WMH pattern adds information for CAA classification,diagnosis,The pattern can contribute to Boston v2.0 classification,That it is a strong standalone or pathology-specific CAA marker,low,1,1,0,0,0,Marginal incremental performance and limited direct validation,Large blinded MRI-pathology study against arteriolosclerosis and mixed-pathology controls,active,2026-08-18
C007,Brain arteriolosclerosis is a heterogeneous family of vessel-wall changes,classification,"Regional, morphologic, etiologic, and measurement heterogeneity should be represented explicitly",A universally accepted molecular subtype system,moderate,1,1,1,1,0,Routine semiquantitative grading collapses different lesions,Multiregion molecular-spatial clustering with external replication,active,2026-08-18
C008,Brain arteriolosclerosis contributes independently to cognitive impairment,clinical,Autopsy cohorts support an association after accounting for major co-pathologies,"A single pathway, a precise individual-level effect, or reversibility",moderate,1,1,1,1,1,Residual confounding and measurement error in co-pathologies,Prospective pathology-linked biomarkers with domain-specific cognitive slopes,active,2026-08-18
C009,Brain arteriolosclerosis is associated with hippocampal sclerosis/LATE-related pathology,mixed_pathology,Repeated autopsy data support a multiregional association,That arteriolosclerosis causes LATE-NC or hippocampal sclerosis,moderate,2,1,1,1,1,Cross-sectional autopsy data cannot determine temporal direction,Longitudinal vascular biomarkers followed by standardized LATE-NC pathology,active,2026-08-18
C010,Nonhemorrhagic tissue injury contributes importantly to cognition in CAA,clinical,"Diffusion, network, white-matter, and ischemic injury are plausible contributors beyond overt ICH","Their independent causal proportion after AD, LATE, and arteriolosclerosis are fully controlled",moderate,1,1,1,1,1,Co-pathology and mediation are incompletely measured,Longitudinal multimodal change models with AD/LATE biomarkers and incident lesions,active,2026-08-18
C011,ARTS predicts pathology-linked arteriolosclerosis risk in older research cohorts,biomarker,ARTS shows approximately 0.8 discrimination under short MRI-death intervals in development/testing cohorts,"Clinical diagnostic accuracy in younger or representative populations, calibrated thresholds, or treatment responsiveness",low,2,0,0,0,0,Small pathology test set and incomplete external pathology replication,Locked multisite pathology validation with calibration and prespecified subgroup analysis,active,2026-08-18
C012,ARTS is technically reproducible across repeat scans and scanners,measurement,Available studies report excellent repeatability and reproducibility,"Etiologic specificity, clinical benefit, or biological change sensitivity",moderate,2,1,1,1,1,Key multisite report is currently a supplement abstract,Full protocol and results report with failure rates and version-locked container,active,2026-08-18
C013,Higher ARTS scores are associated with cognitive decline and vascular outcomes,prognosis,"Multiple older-adult cohorts show associations with cognition and incident MCI, dementia, or stroke",That the associations are mediated specifically by arteriolosclerosis or improve decisions beyond established predictors,moderate,2,1,1,1,1,Predictor composition and residual confounding complicate causal interpretation,External incremental-value and decision-curve studies with pathology-informed mediation,active,2026-08-18
C014,Inflammation participates in CAA vessel injury and ARIA,mechanism,"Inflammatory states are consistently linked to CAA-ri, ARIA, and late-stage vessel remodeling",A uniform harmful role at all stages or a simple inflammation-to-rupture sequence,moderate,1,1,1,1,1,"Inflammation can be cause, response, or attempted clearance","Spatial immune-state comparison across stable clearance, edema, remodeling, and rupture",active,2026-08-18
C015,CAA and Alzheimer disease share amyloid biology but remain compartmentally distinct diseases,classification,Shared A-beta/APOE/age biology and frequent coexistence do not erase differences between vessel wall and parenchyma,A single unitary disease model,moderate,2,1,2,2,2,Compartment-specific temporal interactions remain uncertain,Joint molecular and longitudinal modeling of vascular and parenchymal amyloid,active,2026-08-18
C016,Composite SVD scores summarize burden but do not identify etiology,measurement,Ordinal scores can stratify total visible burden and prognosis,"Continuous severity, lesion mechanism, equal biological weighting, or one underlying disease",high,2,2,2,2,2,Thresholding and equal weights discard spatial and continuous information,External comparison with continuous latent spatial measures,active,2026-08-18
C017,Boston v2.0 accuracy is strongly dependent on clinical context,diagnosis,Performance is materially higher in symptomatic tissue-selected cohorts than in community or nonhemorrhagic samples,"Universal sensitivity or specificity across referral, memory, and screening settings",high,2,2,2,2,2,Available community validations remain selected autopsy-MRI subsets,Prospective multicentre validation across prespecified intended-use populations,active,2026-08-18
C018,No fluid biomarker is currently sufficiently specific and validated for routine standalone CAA diagnosis,biomarker,CSF and plasma measures remain research tools whose signals overlap with Alzheimer pathology,That fluid measures have no future role in multimodal or treatment-risk models,moderate,1,1,1,1,0,Few pathology-referenced studies and substantial AD overlap,Large pathology-anchored multimodal studies with prespecified cutoffs and external validation,active,2026-08-18
C019,"Cerebrovascular reactivity is a reproducible physiological correlate of SVD-related cognition and imaging progression, but is not etiologically specific",physiological biomarker,Multisite and longitudinal evidence supports CVR as a vascular-function marker related to cognition and later tissue injury,"That CVR identifies CAA or arteriolosclerosis, adds clinical utility beyond conventional MRI, or is treatment-responsive",moderate,1,1,2,1,1,No pathology-specific reference standard and nontrivial gas-challenge implementation,"Standardized multisite longitudinal CVR with pathology or validated etiologic reference, incremental-value analysis, and intervention responsiveness",active,2026-08-18
C020,CAA-related inflammation has an ARIA-E-like clinical-radiological phenotype that differs from non-inflammatory CAA,inflammatory CAA,Asymmetric parenchymal/sulcal FLAIR abnormalities and gyral swelling strongly characterize referred CAA-ri cohorts,"That imaging alone always distinguishes CAA-ri from infection, neoplasm, PRES, vasculitis, or treatment-related ARIA",moderate,2,1,2,1,1,Retrospective specialist samples and incomplete biopsy verification,Prospective blinded multicentre accuracy study against adjudicated clinicopathologic diagnosis with alternative inflammatory controls,active,2026-08-18
C021,"Regional amyloid PET patterns may add differential information for CAA versus AD, but current evidence does not support standalone pathology-specific diagnosis",molecular imaging,Group-level occipital-to-global and global retention differences are reproducible enough to justify prospective testing,A validated patient-level threshold that separates vascular from parenchymal amyloid across tracers and disease stages,low,1,1,1,1,0,"Clinical reference standards, tracer heterogeneity, and extensive AD co-pathology",Prospective multi-tracer PET-to-autopsy study with prespecified regional thresholds and mixed-pathology modeling,active,2026-08-18
C022,"Spontaneous CAA-related inflammation and treatment-related ARIA share vascular-amyloid, permeability, and inflammatory features but are not interchangeable entities",mechanism and safety,The overlap is a productive mechanistic analogy that informs detection and monitoring,"That the conditions have identical initiating events, natural history, risk factors, or optimal treatment",moderate,1,1,2,1,1,Mechanistic evidence is partly inferential and clinical data on severe ARIA predictors remain limited,"Harmonized longitudinal imaging, fluid, genetic, and pathology comparison of spontaneous CAA-ri and therapy-associated ARIA",active,2026-08-18
C023,Hereditary CAA is a powerful temporal and mechanistic model but does not automatically transport to sporadic late-life CAA,genetic models,Monogenic disease can clarify sequence and penetrance under a defined causal lesion,"That effect sizes, ages, co-pathology, or treatment response match sporadic disease",moderate,1,1,2,1,0,"Rare variants and younger, highly selected families differ from typical late-life multimorbidity",Parallel harmonized longitudinal phenotyping of hereditary and sporadic CAA with shared biomarkers and explicit transport models,active,2026-08-18
C024,Blood biomarkers can index components of vascular injury but currently lack standalone specificity for CAA or brain arteriolosclerosis,fluid biomarkers,"Endothelial, inflammatory, pericyte, and injury markers can support mechanistic stratification and multimodal models",A validated single blood test for either target vessel pathology,moderate,1,1,1,1,1,"Construct overlap, assay heterogeneity, confounding, and few pathology-linked cohorts","Blinded multisite pathology-linked plasma study with prespecified assays, competing pathologies, and incremental-value analysis",active,2026-08-18
