ref_id,title,authors_or_group,year,source,evidence_type,topic,priority,doi,pmid,pmcid,doi_or_url,metadata_status,archive_note,reviewed_on
R001,Neuroimaging standards for research into small vessel disease - advances since 2013,Duering et al.,2023,Lancet Neurology,consensus/position paper,STRIVE-2,essential,10.1016/S1474-4422(23)00131-X,,,https://doi.org/10.1016/S1474-4422(23)00131-X,partially enriched,Use with STRIVE-1; phenotype-first terminology.,2026-08-18
R002,Neuroimaging standards for research into small vessel disease and its contribution to ageing and neurodegeneration,Wardlaw et al.,2013,Lancet Neurology,consensus/position paper,STRIVE-1,essential,10.1016/S1474-4422(13)70047-8,,,https://doi.org/10.1016/S1474-4422(13)70047-8,partially enriched,Original standardized MRI feature definitions.,2026-08-18
R003,Brain arteriolosclerosis,Blevins et al.,2021,Acta Neuropathologica,review,arteriolosclerosis,essential,10.1007/s00401-020-02235-6,,,https://doi.org/10.1007/s00401-020-02235-6,partially enriched,Comprehensive pathology-to-clinical review.,2026-08-18
R004,Cerebral Amyloid Angiopathy,Greenberg,2026,New England Journal of Medicine,review,CAA,essential,10.1056/NEJMra2411298,,,https://doi.org/10.1056/NEJMra2411298,partially enriched,Current concise field overview.,2026-08-18
R005,Emerging concepts in sporadic cerebral amyloid angiopathy,Charidimou et al.,2017,Brain,review,CAA,essential,10.1093/brain/awx047,,,https://doi.org/10.1093/brain/awx047,partially enriched,Foundational modern mechanistic synthesis.,2026-08-18
R006,The Boston criteria version 2.0 for cerebral amyloid angiopathy,Charidimou et al.,2022,Lancet Neurology,diagnostic accuracy,criteria,essential,10.1016/S1474-4422(22)00208-3,35841910,PMC9389452,https://doi.org/10.1016/S1474-4422(22)00208-3,partially enriched,MRI-neuropathology derivation and validation.,2026-08-18
R007,The Edinburgh CT and genetic diagnostic criteria for lobar intracerebral haemorrhage associated with cerebral amyloid angiopathy,Rodrigues et al.,2018,Lancet Neurology,diagnostic accuracy,criteria,essential,10.1016/S1474-4422(18)30006-1,,,https://doi.org/10.1016/S1474-4422(18)30006-1,partially enriched,CT/APOE model for lobar ICH; requires external validation.,2026-08-18
R008,Validation of clinicoradiological criteria for the diagnosis of cerebral amyloid angiopathy-related inflammation,Auriel et al.,2016,JAMA Neurology,diagnostic accuracy,CAA-ri,essential,10.1001/jamaneurol.2015.4078,,,https://doi.org/10.1001/jamaneurol.2015.4078,partially enriched,Probable CAA-ri sensitivity/specificity study.,2026-08-18
R009,Diagnosis and management of cerebral amyloid angiopathy: a scientific statement from the International CAA Association and the World Stroke Organization,Cordonnier et al.,2025,International Journal of Stroke,scientific statement,CAA management,essential,10.1177/17474930251365861,,,https://doi.org/10.1177/17474930251365861,partially enriched,Current international diagnostic/management consensus; recommendations vary in strength.,2026-08-18
R010,Progression of cerebral amyloid angiopathy: a pathophysiological framework,Koemans et al.,2023,Lancet Neurology,personal view/framework,CAA progression,essential,10.1016/S1474-4422(23)00114-X,,,https://doi.org/10.1016/S1474-4422(23)00114-X,partially enriched,Four-stage sequence across decades.,2026-08-18
R011,Is CAA a perivascular brain clearance disease?,van Veluw et al.,2024,Cellular and Molecular Life Sciences,review,clearance,essential,10.1007/s00018-024-05277-1,,,https://doi.org/10.1007/s00018-024-05277-1,partially enriched,Evidence for and against clearance models.,2026-08-18
R012,Perivascular space dilation is associated with vascular amyloid-beta accumulation in the overlying cortex,Perosa et al.,2022,Acta Neuropathologica,human MRI-pathology,PVS/clearance,essential,10.1007/s00401-021-02393-1,,,https://doi.org/10.1007/s00401-021-02393-1,partially enriched,Spatially localized evidence; association not flow measurement.,2026-08-18
R013,Blood-brain barrier leakage and perivascular inflammation in cerebral amyloid angiopathy,Kozberg et al.,2022,Brain Communications,human pathology,BBB/inflammation,essential,10.1093/braincomms/fcac245,,,https://doi.org/10.1093/braincomms/fcac245,partially enriched,Vessel-grade localized pathology in seven cases.,2026-08-18
R014,The role of neuroinflammation in cerebral amyloid angiopathy,van den Brink et al.,2024,eBioMedicine,review,inflammation/ARIA,essential,10.1016/j.ebiom.2024.105466,,,https://doi.org/10.1016/j.ebiom.2024.105466,partially enriched,"Integrates spontaneous CAA, CAA-ri, and ARIA mechanisms.",2026-08-18
R015,Histopathological correlates of lobar microbleeds in false-positive cerebral amyloid angiopathy cases,Perosa et al.,2023,Annals of Neurology,lesion-level MRI-pathology,specificity,essential,10.1002/ana.26761,,,https://doi.org/10.1002/ana.26761,partially enriched,Arteriolosclerosis can produce lobar CMBs.,2026-08-18
R016,Deep learning assisted quantitative assessment of histopathological markers of Alzheimer's disease and cerebral amyloid angiopathy,Perosa et al.,2021,Acta Neuropathologica Communications,methods,digital pathology,high,10.1186/s40478-021-01235-1,,,https://doi.org/10.1186/s40478-021-01235-1,partially enriched,Marker-specific deep-learning models.,2026-08-18
R017,ARTS: a novel in-vivo classifier of arteriolosclerosis for the older adult brain,Makkinejad et al.,2021,NeuroImage: Clinical,biomarker development,ARTS,essential,,34330087,PMC8329541,https://pmc.ncbi.nlm.nih.gov/articles/PMC8329541/,partially enriched,Pathology-linked development and cognitive validation.,2026-08-18
R018,The ARTS marker of arteriolosclerosis: instrumental and clinical validation,Arfanakis et al.,2024,Alzheimer's & Dementia,biomarker validation,ARTS,essential,,,PMC11712721,https://pmc.ncbi.nlm.nih.gov/articles/PMC11712721/,partially enriched,MarkVCID repeatability/reproducibility and cognition.,2026-08-18
R019,"ARTS is associated with vascular risk factors, MCI, dementia, and stroke",Arfanakis et al.,2025,Alzheimer's & Dementia,longitudinal cohort,ARTS,high,,,PMC12208800,https://pmc.ncbi.nlm.nih.gov/articles/PMC12208800/,partially enriched,Diverse cohort; subgroup heterogeneity should be retained.,2026-08-18
R020,"MarkVCID cerebral small vessel consortium: enrollment, clinical, fluid protocols",MarkVCID Consortium,2021,Alzheimer's & Dementia,methods,MarkVCID,high,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8122220/,partially enriched,Biomarker-kit and context-of-use framework.,2026-08-18
R021,"Instrumental validation of free water, PSMD, and white matter hyperintensities",MarkVCID Consortium,2022,Alzheimer's & Dementia,multisite validation,MarkVCID imaging,high,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8959640/,partially enriched,Reliability and reproducibility; not etiologic specificity.,2026-08-18
R022,Biological validation of peak-width of skeletonized mean diffusivity as a VCID biomarker,MarkVCID Consortium,2024,Alzheimer's & Dementia,biomarker validation,PSMD,high,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11667514/,partially enriched,Cognition association beyond WMH in several cohorts.,2026-08-18
R023,The Microbleed Anatomical Rating Scale,Gregoire et al.,2009,Neurology,rating-scale validation,CMB,high,10.1212/WNL.0b013e3181c34a7d,,,https://doi.org/10.1212/WNL.0b013e3181c34a7d,partially enriched,MARS rating form and reliability.,2026-08-18
R024,Improving interrater agreement about brain microbleeds: development of BOMBS,Cordonnier et al.,2009,Stroke,rating-scale validation,CMB,high,10.1161/STROKEAHA.108.526996,,,https://doi.org/10.1161/STROKEAHA.108.526996,partially enriched,Structured microbleed rating with mimic sources.,2026-08-18
R025,Vascular cognitive impairment neuropathology guidelines,Skrobot et al.,2016,Brain,consensus/validation,VCING,essential,10.1093/brain/aww214,,,https://doi.org/10.1093/brain/aww214,partially enriched,Neuropathologic contribution-to-cognition framework.,2026-08-18
R026,"Development, appraisal, validation and implementation of a consensus protocol for assessment of cerebral amyloid angiopathy in post-mortem brain tissue",Love et al.,2014,American Journal of Neurodegenerative Disease,consensus,CAA pathology,high,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC3991507/,partially enriched,Sampling and severity standardization.,2026-08-18
R027,"Stroke subtype, vascular risk factors, and total MRI brain small-vessel disease burden",Staals et al.,2014,Neurology,construct validation,total SVD score,high,10.1212/WNL.0000000000000837,,,https://doi.org/10.1212/WNL.0000000000000837,partially enriched,Original 0-4 burden construct.,2026-08-18
R028,Small vessel disease burden in cerebral amyloid angiopathy,Charidimou et al.,2016,JAMA Neurology,imaging-pathology,CAA-SVD score,high,10.1001/jamaneurol.2016.0832,,,https://doi.org/10.1001/jamaneurol.2016.0832,partially enriched,CAA-oriented 0-6 burden score.,2026-08-18
R029,Total small vessel disease burden and brain network efficiency in cerebral amyloid angiopathy,Reijmer et al.,2018,Journal of the American Heart Association,observational,network/cognition,medium,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5907925/,partially enriched,Links burden score with network efficiency.,2026-08-18
R030,Cortical superficial siderosis and recurrent intracerebral hemorrhage risk in cerebral amyloid angiopathy,Charidimou et al.,2019,International Journal of Stroke,prospective/meta-analysis,cSS prognosis,high,,,,https://pubmed.ncbi.nlm.nih.gov/30785378/,partially enriched,cSS extent as recurrent-ICH prognostic marker.,2026-08-18
R031,Core cerebrospinal fluid biomarker profile in cerebral amyloid angiopathy,Charidimou et al.,2018,Neurology,meta-analysis,CSF biomarkers,high,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5837868/,partially enriched,Aβ40/Aβ42/tau patterns; larger validation needed.,2026-08-18
R032,Amyloid PET in sporadic cerebral amyloid angiopathy: a systematic critical update,not yet extracted,2017,Journal of Cerebral Blood Flow & Metabolism,systematic-review,amyloid PET,high,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5435601/,citation metadata only,Sensitivity/specificity limits from coexisting plaques.,2026-08-18
R033,Arteriolosclerosis that affects multiple brain regions is linked to hippocampal sclerosis of ageing,Neltner et al.,2014,Brain,autopsy cohorts,B-ASC/hippocampal sclerosis,high,10.1093/brain/awt318,,,https://doi.org/10.1093/brain/awt318,partially enriched,Association across three autopsy series; causal direction unresolved.,2026-08-18
R034,LATE-NC staging in routine neuropathologic diagnosis: an update,Nelson et al.,2023,Acta Neuropathologica,consensus,LATE co-pathology,high,10.1007/s00401-022-02524-2,,,https://doi.org/10.1007/s00401-022-02524-2,partially enriched,Necessary for mixed-pathology attribution.,2026-08-18
R035,Entorhinal vessel density correlates with phosphorylated tau and TDP-43 pathology,Llamas-Rodriguez et al.,2024,Alzheimer's & Dementia,ex vivo MRI-pathology,medial temporal lobe,medium,10.1002/alz.13896,,,https://doi.org/10.1002/alz.13896,partially enriched,Twelve-case spatial association; direction unknown.,2026-08-18
R036,Cerebral small vessel disease: from pathogenesis and clinical characteristics to therapeutic challenges,Pantoni,2010,Lancet Neurology,review,cSVD foundations,high,10.1016/S1474-4422(10)70104-6,,,https://doi.org/10.1016/S1474-4422(10)70104-6,partially enriched,Foundational overview; update with newer reviews.,2026-08-18
R037,Small vessel disease: mechanisms and clinical implications,Wardlaw et al.,2019,Lancet Neurology,review,cSVD mechanisms,high,10.1016/S1474-4422(19)30079-1,,,https://doi.org/10.1016/S1474-4422(19)30079-1,partially enriched,"Mechanistic synthesis across vessel wall, BBB, and tissue.",2026-08-18
R038,The pathogenesis of cerebral small vessel disease and vascular cognitive impairment,not yet extracted,2025,Physiological Reviews,review,cSVD mechanisms,high,10.1152/physrev.00028.2024,,,https://doi.org/10.1152/physrev.00028.2024,citation metadata only,Detailed modern physiology/pathogenesis review.,2026-08-18
R039,Clinical management of cerebral amyloid angiopathy,not yet extracted,2025,Journal of Clinical Medicine,review,CAA management,medium,10.3390/jcm14124259,,,https://doi.org/10.3390/jcm14124259,citation metadata only,Useful overview; scientific statement is higher-priority guidance.,2026-08-18
R040,Amyloid-related imaging abnormalities in anti-amyloid therapies: update from the Alzheimer's Association ARIA workgroup,not yet extracted,2026,Alzheimer's & Dementia,workgroup review,ARIA,high,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13099593/,citation metadata only,State-of-science recommendations; explicitly not a practice guideline.,2026-08-18
R041,Cardiovascular management in asymptomatic cerebral microbleeds and suspected CAA,not yet extracted,2024,Stroke,review,silent CMB/CAA,high,10.1161/STROKEAHA.123.044167,,,https://doi.org/10.1161/STROKEAHA.123.044167,citation metadata only,Risk framing for incidental markers.,2026-08-18
R042,White matter hyperintensity multispot pattern lesions and cerebrovascular amyloid burden,not yet extracted,2025,Stroke,pilot observational,WMH multispot,medium,10.1161/STROKEAHA.125.051482,,,https://doi.org/10.1161/STROKEAHA.125.051482,citation metadata only,N=21; exploratory PET association.,2026-08-18
R043,Cerebrovascular morphology in aging and disease,not yet extracted,2022,Frontiers/related methods,methods,vessel imaging,low,,,,https://arxiv.org/abs/2202.07093,citation metadata only,Discovery resource; prioritize peer-reviewed validation.,2026-08-18
R044,Computer-aided extraction of select MRI markers of cerebral small vessel disease,not yet extracted,2022,NeuroImage: Clinical,systematic-review,automated imaging,medium,,,,https://arxiv.org/abs/2204.01411,citation metadata only,Review CMB/PVS/lacune methods; verify final journal citation.,2026-08-18
R045,Standardized assessment of automatic segmentation of white matter hyperintensities,Kuijf et al.,2019,Scientific Reports,benchmark,WMH tools,high,,,,https://arxiv.org/abs/1904.00682,partially enriched,Multicenter challenge; benchmark-to-cohort transport remains critical.,2026-08-18
R046,Cerebral microbleeds: a guide to detection and interpretation,Greenberg et al.,2009,Lancet Neurology,review,CMB,high,10.1016/S1474-4422(09)70013-4,,,https://doi.org/10.1016/S1474-4422(09)70013-4,partially enriched,Foundational mimic and sequence guide.,2026-08-18
R047,Cortical superficial siderosis: detection and clinical significance,Charidimou et al.,2015,Brain,review,cSS,high,10.1093/brain/awv162,,,https://doi.org/10.1093/brain/awv162,partially enriched,Core cSS definition and significance.,2026-08-18
R048,Cerebral amyloid angiopathy with and without hemorrhage,Greenberg et al.,2015,Neurology,MRI-pathology,phenotypes,medium,10.1212/WNL.0000000000001398,,,https://doi.org/10.1212/WNL.0000000000001398,partially enriched,Supports distinct hemorrhagic phenotypes and APOE relationships.,2026-08-18
R049,Vascular pathologies and Alzheimer's disease-related proteinopathies of the medial temporal lobe,Perosa and Viswanathan,2022,Current Trends in Neurology,narrative-review,mixed pathology,medium,,,,,partially enriched,"Supplied PDF; use as map, verify primary studies.",2026-08-18
R050,Relationship between cerebral small vessel disease and proteinopathies in the medial temporal lobe,Perosa et al.,2025,Communications Biology,quantitative autopsy study,mixed pathology,high,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12265290/,partially enriched,152 cases; AI and manual pathology measures across MTL.,2026-08-18
