observation_id,observation,raises_probability_of,important_alternatives,discriminators,best_reference,common_error
O001,Strictly lobar cerebral microbleeds,CAA,"Nonamyloid arteriolosclerosis, trauma, embolic phenomena, vascular malformation, treatment-related injury","Cortical versus juxtacortical position, cSS, convexity SAH, age/presentation, sequence quality",Lesion-level histopathology,Calling every lobar microbleed CAA
O002,Deep cerebral microbleeds,Deep perforator arteriopathy,"Mixed CAA/SVD, other vasculopathies, trauma","Basal ganglia/thalamus/brainstem pattern, lacunes, vascular risks, mixed lobar burden",Regional vessel pathology,Treating distribution as a direct diagnosis of arteriolosclerosis
O003,Mixed lobar and deep microbleeds,Mixed SVD or deep perforator disease with lobar lesions,"Severe CAA with coincidental deep lesions, other arteriopathies","Full lesion map, cSS, PVS pattern, hemorrhage history, pathology",Multiregion pathology,Forcing one mutually exclusive etiology
O004,Cortical superficial siderosis,CAA-related superficial bleeding,"Trauma, surgery, vascular malformation, other subarachnoid bleeding","Distribution, convexity SAH, history, vascular imaging",Etiologic adjudication/pathology,Ignoring non-CAA sources of prior bleeding
O005,Severe CSO-PVS,CAA-associated phenotype,"Aging, mixed SVD, atrophy, clearance dysfunction from other causes","Basal ganglia comparison, hemorrhagic markers, regional pathology",Spatial MRI-pathology,Equating visible PVS with measured glymphatic flow
O006,Severe basal-ganglia PVS,Deep perforator SVD,"Aging, mixed disease","Deep lacunes/microbleeds, vascular risks, region-specific pathology",Regional pathology,Assuming PVS severity is etiologically unique
O007,Confluent periventricular/deep WMH,Chronic SVD tissue injury,"AD, demyelination, inflammatory disease, migraine, edema, toxic/metabolic causes","Age, morphology, diffusion, enhancement, tempo, lesion distribution",Clinical adjudication plus pathology where available,Using WMH as a synonym for arteriolosclerosis
O008,Multispot WMH pattern,CAA within a compatible context,Other multifocal white-matter processes and rating variability,"Boston markers, reproducible definition, pathology",MRI-autopsy validation,Assuming incorporation into criteria equals independent validation
O009,Asymmetric vasogenic edema/sulcal FLAIR hyperintensity,CAA-ri or ARIA in the correct context,"PRES, infection, neoplasm, autoimmune vasculitis, seizure-related change","Treatment exposure, lobar CMB/cSS, enhancement, diffusion, CSF, systemic workup",Biopsy or adjudicated longitudinal diagnosis,Ignoring therapy context and mimics
O010,Positive amyloid PET,Fibrillar amyloid,"Parenchymal AD amyloid, vascular CAA, or both","Regional pattern, tau/CSF, MRI CAA markers, pathology",Compartment-specific pathology,Calling amyloid positivity CAA
O011,Reduced CVR,Vascular dysfunction,"Large-vessel disease, medications, CO2 delivery differences, systemic physiology, general SVD","Territory, vascular imaging, protocol QA, pathology context",Physiological reproducibility plus outcomes/pathology,Assigning a specific vessel-wall pathology
O012,Elevated ARTS score,Model-predicted arteriolosclerosis risk in similar research cohorts,"General aging, WMH/diffusion injury, vascular risk burden","External calibration, pathology, baseline model comparison",Independent multiregion pathology,Calling a score a clinical diagnosis
