topic_id,title,domain,kind,depth_status,current_module,priority,core_sources,gap,next_action
TOP001,Small-vessel anatomy and vascular territories,Foundations,concept,deep,15-vessel-anatomy-and-neurovascular-unit,essential,R003;R037,Regional and venular anatomy remain less developed,Add an expert-reviewed vascular anatomy figure set
TOP002,Neurovascular unit,Foundations,concept,deep,15-vessel-anatomy-and-neurovascular-unit,essential,R037;R038,Cell-specific human evidence is uneven,Link cell-level claims to human and experimental evidence
TOP003,Cerebral autoregulation,Physiology,mechanism,core,15-vessel-anatomy-and-neurovascular-unit,high,R037;R054,Thresholds and regional interpretation vary,Add acquisition and analysis protocol comparisons
TOP004,Neurovascular coupling,Physiology,mechanism,core,15-vessel-anatomy-and-neurovascular-unit,high,R037;R054,Etiologic specificity is limited,Build a modality comparison dossier
TOP005,Blood-brain barrier,Mechanisms,mechanism,deep,15-vessel-anatomy-and-neurovascular-unit,essential,R013;R037;R038,Causality and temporal order remain uncertain,Expand longitudinal and pathology-linked evidence
TOP006,Perivascular clearance,Mechanisms,mechanism,deep,16-cerebral-amyloid-angiopathy-deep-dive,essential,R011;R012,Competing drainage models and reverse causation,Create model-by-prediction evidence table
TOP007,Pulsatility and arterial stiffness,Physiology,mechanism,core,15-vessel-anatomy-and-neurovascular-unit,high,R037;R038,Direct vessel-level links are sparse,Add multimodal longitudinal studies
TOP008,Brain arteriolosclerosis definition,Arteriolosclerosis,pathology,deep,17-brain-arteriolosclerosis-deep-dive,essential,R003,Construct boundaries and nomenclature remain inconsistent,Create lesion-level visual glossary
TOP009,Lipohyalinosis and fibrinoid injury,Arteriolosclerosis,pathology,core,17-brain-arteriolosclerosis-deep-dive,high,R003,Historical terms are applied inconsistently,Add pathology terminology concordance
TOP010,Smooth-muscle loss and vessel-wall fibrosis,Arteriolosclerosis,pathology,deep,17-brain-arteriolosclerosis-deep-dive,essential,R003;R038,Mechanism-to-imaging bridge is incomplete,Link regional pathology to in-vivo measures
TOP011,Arteriolosclerosis regional heterogeneity,Arteriolosclerosis,pathology,deep,17-brain-arteriolosclerosis-deep-dive,essential,R003;R033,Person-level aggregation is unsettled,Build regional scoring comparison
TOP012,CAA pathology and severity,CAA,pathology,deep,16-cerebral-amyloid-angiopathy-deep-dive,essential,R004;R005;R026,Sampling and capillary involvement complicate classification,Add region-by-region pathology reference
